Date,Day,Family,Rep,Conc,Volume,TotalCont,TotLar,Prt/Lar,AveVol,Prt/Vol,Origin
13-Apr,1,1,1,609.6111111,106.8,65.10646667,10,6.510646667,0.15618441,41.6856,Inshore
13-Apr,1,1,2,651.5,107.2,69.8408,10,6.98408,0.15618441,44.7169,Inshore
13-Apr,1,1,3,635.8333333,107.2,68.16133333,10,6.816133333,0.15618441,43.6416,Inshore
13-Apr,1,2,1,452.8333333,100,45.28333333,10,4.528333333,0.13192887,34.3241,Inshore
13-Apr,1,2,2,486.1666667,100,48.61666667,10,4.861666667,0.13192887,36.8507,Inshore
13-Apr,1,2,3,470.8333333,100,47.08333333,10,4.708333333,0.13192887,35.6884,Inshore
14-Apr,2,2,1,458.8055556,111,50.92741667,10,5.092741667,0.09762217,52.1679,Inshore
14-Apr,2,2,2,532.9166667,112.2,59.79325,10,5.979325,0.09762217,61.2497,Inshore
14-Apr,2,2,3,414.75,110.7,45.912825,10,4.5912825,0.09762217,47.0311,Inshore
15-Apr,3,2,1,410.1944444,112,45.94177778,10,4.594177778,0.064588789,71.1296,Inshore
15-Apr,3,2,2,418.75,114,47.7375,10,4.77375,0.064588789,73.9099,Inshore
15-Apr,3,2,3,408.0833333,109.7,44.76674166,10,4.476674166,0.064588789,69.3104,Inshore
13-Apr,1,3,1,627.8333333,101.9,63.97621667,10,6.397621667,0.116582744,54.8762,Inshore
13-Apr,1,3,2,688.3333333,103.5,71.2425,10,7.12425,0.116582744,61.109,Inshore
13-Apr,1,3,3,694.5416667,106.3,73.82977917,10,7.382977917,0.116582744,63.3282,Inshore
15-Apr,3,3,1,660.4722222,111.9,73.90684167,10,7.390684167,0.105798069,69.8565,Inshore
15-Apr,3,3,2,665,111.7,74.2805,10,7.42805,0.105798069,70.2097,Inshore
15-Apr,3,3,3,505.1666667,117.2,59.20553334,10,5.920553334,0.105798069,55.9609,Inshore
16-Apr,4,3,1,610.0740741,116.6,71.13463704,10,7.113463704,0.084756838,83.9279,Inshore
16-Apr,4,3,2,493.5277778,113.6,56.06475556,10,5.606475556,0.084756838,66.1478,Inshore
16-Apr,4,3,3,561.0833333,112.2,62.95355,10,6.295355,0.084756838,74.2755,Inshore
13-Apr,1,4,1,472.8333333,100,47.28333333,10,4.728333333,0.076554121,61.7646,Inshore
13-Apr,1,4,2,499.1666667,100,49.91666667,10,4.991666667,0.076554121,65.2044,Inshore
13-Apr,1,4,3,517.1666667,100,51.71666667,10,5.171666667,0.076554121,67.5557,Inshore
14-Apr,2,4,1,473.8055556,111.3,52.73455833,10,5.273455833,0.08197851,64.3273,Inshore
14-Apr,2,4,2,530.8333333,120.1,63.75308333,10,6.375308333,0.08197851,77.768,Inshore
14-Apr,2,4,3,381,108.1,41.1861,10,4.11861,0.08197851,50.2401,Inshore
15-Apr,3,4,1,441.5833333,121.6,53.69653333,10,5.369653333,0.098907865,54.2894,Inshore
15-Apr,3,4,2,555.4166667,114.7,63.70629167,10,6.370629167,0.098907865,64.4097,Inshore
15-Apr,3,4,3,514.5416667,108,55.5705,10,5.55705,0.098907865,56.1841,Inshore
16-Apr,4,4,1,446.3703704,112.2,50.08275556,10,5.008275556,0.067295536,74.4221,Inshore
16-Apr,4,4,2,357.6944444,112.9,40.38370277,10,4.038370277,0.067295536,60.0095,Inshore
16-Apr,4,4,3,439.8333333,108.2,47.58996666,10,4.758996666,0.067295536,70.7179,Inshore
17-Apr,5,4,1,337.1111111,170.8,57.57857778,10,5.757857778,0.061263505,93.9851,Inshore
17-Apr,5,4,2,508.3888889,124.5,63.29441667,10,6.329441667,0.061263505,103.315,Inshore
17-Apr,5,4,3,495.25,107,52.99175,10,5.299175,0.061263505,86.4981,Inshore
14-Apr,2,12,1,507.6944444,113.6,57.67408889,10,5.767408889,0.101152077,57.0172,Inshore
14-Apr,2,12,2,527.0833333,108,56.925,10,5.6925,0.101152077,56.2766,Inshore
14-Apr,2,12,3,585.1666667,106.3,62.20321667,10,6.220321667,0.101152077,61.4947,Inshore
16-Apr,4,14,1,544.7037037,105.2,57.30282963,10,5.730282963,0.065914606,86.9349,Inshore
16-Apr,4,14,2,469.6388889,111.2,52.22384445,10,5.222384445,0.065914606,79.2295,Inshore
16-Apr,4,14,3,504.8333333,112.5,56.79375,10,5.679375,0.065914606,86.1626,Inshore
15-Apr,3,15,1,384.6388889,111.3,42.81030833,10,4.281030833,0.08779606,48.7611,Inshore
16-Apr,4,15,1,460.4444444,114.6,52.76693333,10,5.276693333,0.075539683,69.8533,Inshore
16-Apr,4,15,2,460.4722222,109.6,50.46775555,10,5.046775555,0.075539683,66.8096,Inshore
16-Apr,4,15,3,508.8611111,118.8,60.4527,10,6.04527,0.075539683,80.0277,Inshore
13-Apr,1,26,1,412,116.2,47.8744,10,4.78744,0.058686368,81.5767,Offshore
13-Apr,1,26,2,405,130.6,52.893,10,5.2893,0.058686368,90.1283,Offshore
13-Apr,1,26,3,351.8333333,114.5,40.28491666,10,4.028491666,0.058686368,68.6444,Offshore
14-Apr,2,26,1,475.4722222,106.8,50.78043333,10,5.078043333,0.067004532,75.7866,Offshore
14-Apr,2,26,2,525.8333333,106.5,56.00125,10,5.600125,0.067004532,83.5783,Offshore
14-Apr,2,26,3,381.4166667,109.2,41.6507,10,4.16507,0.067004532,62.161,Offshore
15-Apr,3,26,1,461.3055556,117.8,54.34179444,10,5.434179444,0.047194293,115.1448,Offshore
15-Apr,3,26,2,399.5833333,112.6,44.99308333,10,4.499308333,0.047194293,95.3359,Offshore
15-Apr,3,26,3,386.8333333,110,42.55166666,10,4.255166666,0.047194293,90.1627,Offshore
13-Apr,1,27,1,343.5,103.4,35.5179,10,3.55179,0.102819604,34.5439,Offshore
13-Apr,1,27,2,366.5,102.8,37.6762,10,3.76762,0.102819604,36.643,Offshore
13-Apr,1,27,3,405.8333333,101.3,41.11091667,10,4.111091667,0.102819604,39.9835,Offshore
14-Apr,2,27,1,372.9722222,112.2,41.84748333,10,4.184748333,0.067594503,61.9096,Offshore
14-Apr,2,27,2,418.3333333,107.6,45.01266666,10,4.501266666,0.067594503,66.5922,Offshore
14-Apr,2,27,3,500.5833333,110,55.06416666,10,5.506416666,0.067594503,81.4625,Offshore
15-Apr,3,27,1,371.5833333,107,39.75941667,10,3.975941667,0.04113638,96.6527,Offshore
15-Apr,3,27,2,410.4166667,110.2,45.22791667,10,4.522791667,0.04113638,109.9463,Offshore
15-Apr,3,27,3,365.7916667,105.8,38.70075834,10,3.870075834,0.04113638,94.0792,Offshore
13-Apr,1,28,1,405.5,112,45.416,10,4.5416,0.034191284,132.8292,Offshore
13-Apr,1,28,2,339.6111111,100.8,34.2328,10,3.42328,0.034191284,100.1214,Offshore
13-Apr,1,28,3,335.1666667,105.4,35.32656667,10,3.532656667,0.034191284,103.3204,Offshore
14-Apr,2,28,1,367.9722222,106,39.00505556,10,3.900505556,0.063913992,61.0274,Offshore
14-Apr,2,28,2,292.5,108.5,31.73625,10,3.173625,0.063913992,49.6546,Offshore
14-Apr,2,28,3,337.25,109.6,36.9626,10,3.69626,0.063913992,57.8318,Offshore
15-Apr,3,28,1,292.9722222,107.4,31.46521667,10,3.146521667,0.035628734,88.3142,Offshore
15-Apr,3,28,2,277.0833333,112.5,31.171875,10,3.1171875,0.035628734,87.4908,Offshore
15-Apr,3,28,3,276.4166667,110,30.40583334,10,3.040583334,0.035628734,85.3408,Offshore
13-Apr,1,29,1,626.5,100,62.65,10,6.265,0.122917443,50.9692,Offshore
13-Apr,1,29,2,692.5,111,76.8675,10,7.68675,0.122917443,62.5359,Offshore
13-Apr,1,29,3,632.0555556,107.4,67.88276667,10,6.788276667,0.122917443,55.2263,Offshore
14-Apr,2,29,1,586.0277778,106.4,62.35335556,10,6.235335556,0.082922449,75.1948,Offshore
14-Apr,2,29,2,726.25,113.5,82.429375,10,8.2429375,0.082922449,99.4054,Offshore
14-Apr,2,29,3,630.5833333,106.2,66.96795,10,6.696795,0.082922449,80.7597,Offshore
15-Apr,3,29,1,469.6388889,112.6,52.88133889,10,5.288133889,0.083850401,63.0663,Offshore
13-Apr,1,30,1,435.8333333,100,43.58333333,10,4.358333333,0.057919496,75.2481,Offshore
13-Apr,1,30,2,447.5,100,44.75,10,4.475,0.057919496,77.2624,Offshore
13-Apr,1,30,3,423.3888889,100,42.33888889,10,4.233888889,0.057919496,73.0995,Offshore
14-Apr,2,30,1,460.1944444,106.8,49.14876667,10,4.914876667,0.05702637,86.186,Offshore
14-Apr,2,30,2,502.0833333,108.2,54.32541666,10,5.432541666,0.05702637,95.2637,Offshore
14-Apr,2,30,3,606.4166667,107.2,65.00786667,10,6.500786667,0.05702637,113.9962,Offshore
15-Apr,3,30,1,434.0833333,114.4,49.65913333,10,4.965913333,0.084691175,58.6355,Offshore
15-Apr,3,30,2,414.5833333,106.2,44.02875,10,4.402875,0.084691175,51.9874,Offshore
15-Apr,3,30,3,393.0833333,113.6,44.65426666,10,4.465426666,0.084691175,52.726,Offshore
16-Apr,4,30,1,456,100,45.6,10,4.56,0.106047952,42.9994,Offshore
16-Apr,4,30,2,393.5277778,117.4,46.20016111,10,4.620016111,0.106047952,43.5653,Offshore
16-Apr,4,30,3,482.0833333,109.2,52.6435,10,5.26435,0.106047952,49.6412,Offshore
13-Apr,1,31,1,533.6111111,112.4,59.97788889,10,5.997788889,0.054499429,110.0523,Offshore
13-Apr,1,31,2,491.8333333,101.8,50.06863333,10,5.006863333,0.054499429,91.87,Offshore
13-Apr,1,31,3,324.2777778,119,38.58905556,6,6.431509259,0.054499429,118.0106,Offshore
15-Apr,3,31,1,615.1944444,121.1,74.50004722,10,7.450004722,0.07491431,99.447,Offshore
15-Apr,3,31,2,594.5833333,115.5,68.674375,10,6.8674375,0.07491431,91.6706,Offshore
15-Apr,3,31,3,517.6666667,105.2,54.45853334,10,5.445853334,0.07491431,72.6944,Offshore
16-Apr,4,31,1,532.969697,100,53.2969697,10,5.32969697,0.076015919,70.1129,Offshore
16-Apr,4,31,2,551.0277778,111.2,61.27428889,10,6.127428889,0.076015919,80.6072,Offshore
16-Apr,4,31,3,720,116.5,83.88,10,8.388,0.076015919,110.3453,Offshore
17-Apr,5,31,1,500.0740741,168.6,84.31248889,10,8.431248889,0.084033036,100.3326,Offshore
17-Apr,5,31,2,519.222222,114,59.1913333,10,5.91913333,0.08403304,70.4382,Offshore
17-Apr,5,31,3,418.8611111,149.3,62.53596389,10,6.253596389,0.084033036,74.4183,Offshore
16-Apr,4,35,1,491.4102564,100,49.14102564,10,4.914102564,0.077656843,63.2797,Offshore
16-Apr,4,35,2,358.2222222,118.6,42.48515555,10,4.248515555,0.077656843,54.7088,Offshore
16-Apr,4,35,3,434.0833333,112.8,48.9646,10,4.89646,0.077656843,63.0525,Offshore
15-Apr,3,39,1,430.3333333,160.8,69.1976,10,6.91976,0.068191294,101.4757,Offshore
15-Apr,3,39,2,376.25,115.3,43.381625,10,4.3381625,0.068191294,63.6175,Offshore
15-Apr,3,39,3,376.4166667,105.2,39.59903334,10,3.959903334,0.068191294,58.0705,Offshore
15-Apr,3,41,1,510.8974359,105,53.64423077,10,5.364423077,0.074125511,72.3695,Offshore
15-Apr,3,41,2,510.75,119.9,61.238925,10,6.1238925,0.074125511,82.6152,Offshore
15-Apr,3,41,3,557.7083333,112.6,62.79795833,10,6.279795833,0.074125511,84.7184,Offshore