Date,Day,Family,Rep,Count1,Count2,Count3,Count/mm2,Count/mm3,Volume,TotCount,TotLar,Zoox/Lar,AveVol,Zoox/Vol,Origin
13-Apr,1,1,1,37.6,36.6,67.6,47.26666667,945.3333333,106.8,100961.6,10,10096.16,0.15618441,64642.5594,Inshore
13-Apr,1,1,2,50,46.6,49.4,48.66666667,973.3333333,107.2,104341.3333,10,10434.13333,0.15618441,66806.4971,Inshore
13-Apr,1,1,3,25.8,17.4,28.6,23.93333333,478.6666667,107.2,51313.06667,10,5131.306667,0.15618441,32854.15405,Inshore
13-Apr,1,2,1,16.2,15.4,17.2,16.26666667,325.3333333,100,32533.33333,10,3253.333333,0.13192887,24659.75294,Inshore
13-Apr,1,2,2,18.6,13.4,17.2,16.4,328,100,32800,10,3280,0.13192887,24861.88207,Inshore
13-Apr,1,2,3,22.2,24.2,26.6,24.33333333,486.6666667,100,48666.66667,10,4866.666667,0.13192887,36888.56485,Inshore
14-Apr,2,2,1,29.2,30.8,44.6,34.86666667,697.3333333,111,77404,10,7740.4,0.09762217,79289.36634,Inshore
14-Apr,2,2,2,31.8,35.2,31.8,32.93333333,658.6666667,112.2,73902.4,10,7390.24,0.09762217,75702.47619,Inshore
14-Apr,2,2,3,21.6,21.2,21.4,21.4,428,110.7,47379.6,10,4737.96,0.09762217,48533.64763,Inshore
15-Apr,3,2,1,18,13.2,22,17.73333333,354.6666667,112,39722.66667,10,3972.266667,0.064588789,61500.86924,Inshore
15-Apr,3,2,2,5.888888889,6.888888889,5.444444444,6.074074074,121.4814815,114,13848.88889,10,1384.888889,0.064588789,21441.62958,Inshore
15-Apr,3,2,3,7.777777778,8.666666667,17.2,11.21481481,224.2962963,109.7,24605.3037,10,2460.53037,0.064588789,38095.31667,Inshore
13-Apr,1,3,1,6.666666667,17.2,18.6,14.15555556,283.1111111,101.9,28849.02222,10,2884.902222,0.116582744,24745.53371,Inshore
13-Apr,1,3,2,20,21.6,60.8,34.13333333,682.6666667,103.5,70656,10,7065.6,0.116582744,60605.88178,Inshore
13-Apr,1,3,3,38.8,53.6,47.8,46.73333333,934.6666667,106.3,99355.06667,10,9935.506667,0.116582744,85222.78963,Inshore
15-Apr,3,3,1,31.4,45.2,48.2,41.6,832,111.9,93100.8,10,9310.08,0.105798069,87998.58152,Inshore
15-Apr,3,3,2,43.8,44.6,49.4,45.93333333,918.6666667,111.7,102615.0667,10,10261.50667,0.105798069,96991.43627,Inshore
15-Apr,3,3,3,85.4,82,71,79.46666667,1589.333333,117.2,186269.8667,10,18626.98667,0.105798069,176061.6885,Inshore
16-Apr,4,3,1,113,100.6,NA,106.8,2136,116.6,249057.6,10,24905.76,0.084756838,293849.5653,Inshore
16-Apr,4,3,2,80.2,89.6,104.6,84.9,1698,113.6,192892.8,10,19289.28,0.084756838,227583.7614,Inshore
16-Apr,4,3,3,122.8,106.6,103.2,114.7,2294,112.2,257386.8,10,25738.68,0.084756838,303676.737,Inshore
13-Apr,1,4,1,61,103,80,9.037037037,180.7407407,100,18074.07407,10,1807.407407,0.076554121,23609.53783,Inshore
13-Apr,1,4,2,9.8,5.444444444,14.2,9.814814815,196.2962963,100,19629.62963,10,1962.962963,0.076554121,25641.50625,Inshore
13-Apr,1,4,3,15.2,13.8,20,16.33333333,326.6666667,100,32666.66667,10,3266.666667,0.076554121,42671.33681,Inshore
14-Apr,2,4,1,46.2,49,40.2,45.13333333,902.6666667,111.3,100466.8,10,10046.68,0.08197851,122552.6056,Inshore
14-Apr,2,4,2,36.8,44,43.2,41.33333333,826.6666667,120.1,99282.66667,10,9928.266667,0.08197851,121108.162,Inshore
14-Apr,2,4,3,21.4,25.2,40,28.86666667,577.3333333,108.1,62409.73333,10,6240.973333,0.08197851,76129.38236,Inshore
15-Apr,3,4,1,19.4,23.8,25.6,22.93333333,458.6666667,121.6,55773.86667,10,5577.386667,0.098907865,56389.71852,Inshore
15-Apr,3,4,2,22.4,24.8,28.6,25.26666667,505.3333333,114.7,57961.73333,10,5796.173333,0.098907865,58601.74348,Inshore
15-Apr,3,4,3,21.4,18.6,28.2,22.73333333,454.6666667,108,49104,10,4910.4,0.098907865,49646.20357,Inshore
16-Apr,4,4,1,31.4,43.6,42,37.5,750,112.2,84150,10,8415,0.067295536,125045.4413,Inshore
16-Apr,4,4,2,18.2,17.6,25.8,17.9,358,112.9,40418.2,10,4041.82,0.067295536,60060.74459,Inshore
16-Apr,4,4,3,30,35,43.4,32.5,650,108.2,70330,10,7033,0.067295536,104509.1609,Inshore
17-Apr,5,4,1,13.6,16.4,23.8,17.93333333,358.6666667,170.8,61260.26667,10,6126.026667,0.061263505,99994.71409,Inshore
17-Apr,5,4,2,56.8,45.6,57.4,53.26666667,1065.333333,124.5,132634,10,13263.4,0.061263505,216497.5706,Inshore
17-Apr,5,4,3,36.2,34.6,54.8,41.86666667,837.3333333,107,89594.66667,10,8959.466667,0.061263505,146244.7613,Inshore
14-Apr,2,12,1,27.8,26.8,26.6,27.06666667,541.3333333,113.6,61495.46667,10,6149.546667,0.101152077,60795.06075,Inshore
14-Apr,2,12,2,16.4,18.4,26.2,20.33333333,406.6666667,108,43920,10,4392,0.101152077,43419.77081,Inshore
14-Apr,2,12,3,19.2,22.4,27.8,23.13333333,462.6666667,106.3,49181.46667,10,4918.146667,0.101152077,48621.31172,Inshore
16-Apr,4,14,1,9.222222222,13.22222222,27.2,11.22222222,224.4444444,105.2,23611.55556,10,2361.155556,0.065914606,35821.43168,Inshore
16-Apr,4,14,2,23.4,22,23.4,22.7,454,111.2,50484.8,10,5048.48,0.065914606,76591.21864,Inshore
16-Apr,4,14,3,25.2,22.2,28.2,23.7,474,112.5,53325,10,5332.5,0.065914606,80900.12705,Inshore
15-Apr,3,15,1,8.777777778,7.888888889,8,8.222222222,164.4444444,111.3,18302.66667,10,1830.266667,0.08779606,20846.7973,Inshore
16-Apr,4,15,1,44.2,45.6,32,40.6,812,114.6,93055.2,10,9305.52,0.075539683,123187.173,Inshore
16-Apr,4,15,2,18.6,22.6,17.4,19.53333333,390.6666667,109.6,42817.06667,10,4281.706667,0.075539683,56681.5546,Inshore
16-Apr,4,15,3,43,40.4,67.6,50.33333333,1006.666667,118.8,119592,10,11959.2,0.075539683,158316.7883,Inshore
13-Apr,1,26,1,21,17,23.6,20.53333333,410.6666667,116.2,47719.46667,10,4771.946667,0.058686368,81312.69372,Offshore
13-Apr,1,26,2,9.555555556,8.222222222,9,8.925925926,178.5185185,130.6,23314.51852,10,2331.451852,0.058686368,39727.31541,Offshore
13-Apr,1,26,3,14.6,23.8,21,19.8,396,114.5,45342,10,4534.2,0.058686368,77261.55417,Offshore
14-Apr,2,26,1,57.4,60,52,56.46666667,1129.333333,106.8,120612.8,10,12061.28,0.067004532,180006.9285,Offshore
14-Apr,2,26,2,40.6,39.8,40.4,40.26666667,805.3333333,106.5,85768,10,8576.8,0.067004532,128003.2819,Offshore
14-Apr,2,26,3,57,63.8,58.6,59.8,1196,109.2,130603.2,10,13060.32,0.067004532,194916.9647,Offshore
15-Apr,3,26,1,16.6,22.6,18.2,19.13333333,382.6666667,117.8,45078.13333,10,4507.813333,0.047194293,95516.06872,Offshore
15-Apr,3,26,2,8.777777778,10.44444444,11.33333333,10.18518519,203.7037037,112.6,22937.03704,10,2293.703704,0.047194293,48601.29388,Offshore
15-Apr,3,26,3,15,13.4,25.6,18,360,110,39600,10,3960,0.047194293,83908.45054,Offshore
13-Apr,1,27,1,8.111111111,8.444444444,7.444444444,8,160,103.4,16544,10,1654.4,0.102819604,16090.31678,Offshore
13-Apr,1,27,2,4.666666667,4.222222222,4.222222222,4.37037037,87.40740741,102.8,8985.481481,10,898.5481481,0.102819604,8739.074196,Offshore
13-Apr,1,27,3,8.111111111,9,7.555555556,8.222222222,164.4444444,101.3,16658.22222,10,1665.822222,0.102819604,16201.40671,Offshore
14-Apr,2,27,1,6.333333333,9.333333333,10.55555556,8.740740741,174.8148148,112.2,19614.22222,10,1961.422222,0.067594503,29017.48123,Offshore
14-Apr,2,27,2,17.6,16,17.2,16.93333333,338.6666667,107.6,36440.53333,10,3644.053333,0.067594503,53910.49822,Offshore
14-Apr,2,27,3,6.777777778,7.888888889,11.6,8.755555556,175.1111111,110,19262.22222,10,1926.222222,0.067594503,28496.72883,Offshore
15-Apr,3,27,1,3.888888889,4.222222222,4.666666667,4.259259259,85.18518519,107,9114.814815,10,911.4814815,0.04113638,22157.55206,Offshore
15-Apr,3,27,2,5.444444444,7.555555556,10.2,7.733333333,154.6666667,110.2,17044.26667,10,1704.426667,0.04113638,41433.55995,Offshore
15-Apr,3,27,3,7.666666667,10.6,14.6,10.95555556,219.1111111,105.8,23181.95556,10,2318.195556,0.04113638,56353.90269,Offshore
13-Apr,1,28,1,21.8,15,18.6,18.46666667,369.3333333,112,41365.33333,10,4136.533333,0.034191284,120982.0998,Offshore
13-Apr,1,28,2,16,17.4,16.6,16.66666667,333.3333333,100.8,33600,10,3360,0.034191284,98270.65869,Offshore
13-Apr,1,28,3,17.8,21.4,21.4,20.2,404,105.4,42581.6,10,4258.16,0.034191284,124539.3417,Offshore
14-Apr,2,28,1,41.4,29.4,33.6,34.8,696,106,73776,10,7377.6,0.063913992,115430.1237,Offshore
14-Apr,2,28,2,9.888888889,14.8,21.8,15.4962963,309.9259259,108.5,33626.96296,10,3362.696296,0.063913992,52612.8347,Offshore
14-Apr,2,28,3,23,19.4,23.4,21.93333333,438.6666667,109.6,48077.86667,10,4807.786667,0.063913992,75222.75665,Offshore
15-Apr,3,28,1,10.77777778,8.333333333,11.88888889,10.33333333,206.6666667,107.4,22196,10,2219.6,0.035628734,62298.0317,Offshore
15-Apr,3,28,2,10.4,11.77777778,24,15.39259259,307.8518519,112.5,34633.33333,10,3463.333333,0.035628734,97206.1857,Offshore
15-Apr,3,28,3,7.333333333,10.44444444,13.44444444,10.40740741,208.1481481,110,22896.2963,10,2289.62963,0.035628734,64263.56967,Offshore
13-Apr,1,29,1,37.6,43.2,38.4,39.73333333,794.6666667,100,79466.66667,10,7946.666667,0.122917443,64650.43913,Offshore
13-Apr,1,29,2,74,91.4,79.6,81.66666667,1633.333333,111,181300,10,18130,0.122917443,147497.3735,Offshore
13-Apr,1,29,3,23.4,27,27,25.8,516,107.4,55418.4,10,5541.84,0.122917443,45085.87117,Offshore
14-Apr,2,29,1,68.6,55.4,71.4,65.13333333,1302.666667,106.4,138603.7333,10,13860.37333,0.082922449,167148.625,Offshore
14-Apr,2,29,2,64,101.8,85.6,83.8,1676,113.5,190226,10,19022.6,0.082922449,229402.2937,Offshore
14-Apr,2,29,3,48.6,40.2,46.8,45.2,904,106.2,96004.8,10,9600.48,0.082922449,115776.6095,Offshore
15-Apr,3,29,1,31.8,36.2,34,34,680,112.6,76568,10,7656.8,0.083850401,91315.00755,Offshore
13-Apr,1,30,1,11.4,13.2,13.4,12.66666667,253.3333333,100,25333.33333,10,2533.333333,0.057919496,43738.87034,Offshore
13-Apr,1,30,2,57,54,52,6.037037037,120.7407407,100,12074.07407,10,1207.407407,0.057919496,20846.3037,Offshore
13-Apr,1,30,3,13.6,11.8,5.333333333,10.24444444,204.8888889,100,20488.88889,10,2048.888889,0.057919496,35374.77058,Offshore
14-Apr,2,30,1,21.2,14.6,18.4,18.06666667,361.3333333,106.8,38590.4,10,3859.04,0.05702637,67671.14933,Offshore
14-Apr,2,30,2,16.6,14,33.8,21.46666667,429.3333333,108.2,46453.86667,10,4645.386667,0.05702637,81460.32558,Offshore
14-Apr,2,30,3,19.4,9.111111111,13.44444444,13.98518519,279.7037037,107.2,29984.23704,10,2998.423704,0.05702637,52579.59964,Offshore
15-Apr,3,30,1,15.4,16.8,29.8,20.66666667,413.3333333,114.4,47285.33333,10,4728.533333,0.084691175,55832.6571,Offshore
15-Apr,3,30,2,5.666666667,6.888888889,5.222222222,5.925925926,118.5185185,106.2,12586.66667,10,1258.666667,0.084691175,14861.8397,Offshore
15-Apr,3,30,3,8.6,11.11111111,10.55555556,10.08888889,201.7777778,113.6,22921.95556,10,2292.195556,0.084691175,27065.34129,Offshore
16-Apr,4,30,1,NA,NA,NA,NA,NA,100,NA,10,NA,0.106047952,NA,Offshore
16-Apr,4,30,2,18.6,21.2,27.2,22.33333333,446.6666667,117.4,52438.66667,10,5243.866667,0.106047952,49448.07106,Offshore
16-Apr,4,30,3,23,20.2,23.2,22.13333333,442.6666667,109.2,48339.2,10,4833.92,0.106047952,45582.39842,Offshore
13-Apr,1,31,1,25.2,27,36.4,29.53333333,590.6666667,112.4,66390.93333,10,6639.093333,0.054499429,121819.5026,Offshore
13-Apr,1,31,2,12.11111111,17.8,20.8,16.9037037,338.0740741,101.8,34415.94074,10,3441.594074,0.054499429,63149.17674,Offshore
13-Apr,1,31,3,16.4,14.4,16.4,15.73333333,314.6666667,119,37445.33333,6,6240.888889,0.054499429,114512.9225,Offshore
15-Apr,3,31,1,27,39.6,58,41.53333333,830.6666667,121.1,100593.7333,10,10059.37333,0.07491431,134278.3953,Offshore
15-Apr,3,31,2,36.4,40.8,37.4,38.2,764,115.5,88242,10,8824.2,0.07491431,117790.5797,Offshore
15-Apr,3,31,3,15.66666667,18.2,18.6,17.48888889,349.7777778,105.2,36796.62222,10,3679.662222,0.07491431,49118.28224,Offshore
16-Apr,4,31,1,NA,NA,NA,NA,NA,100,NA,10,NA,0.076015919,NA,Offshore
16-Apr,4,31,2,29.2,44,49,36.6,732,111.2,81398.4,10,8139.84,0.076015919,107080.7287,Offshore
16-Apr,4,31,3,57.4,55.8,NA,56.6,1132,116.5,131878,10,13187.8,0.076015919,173487.3455,Offshore
17-Apr,5,31,1,41.2,52.8,67.6,53.86666667,1077.333333,168.6,181638.4,10,18163.84,0.084033036,216151.1813,Offshore
17-Apr,5,31,2,15.6,16.6,39.2,23.8,476,114,54264,10,5426.4,0.084033036,64574.60373,Offshore
17-Apr,5,31,3,15.2,13,14.2,14.13333333,282.6666667,149.3,42202.13333,10,4220.213333,0.084033036,50220.88376,Offshore
16-Apr,4,35,1,30.6,46.8,53.2,43.53333333,870.6666667,100,87066.66667,10,8706.666667,0.077656843,112117.1849,Offshore
16-Apr,4,35,2,25.6,26.6,36,29.4,588,118.6,69736.8,10,6973.68,0.077656843,89801.22931,Offshore
16-Apr,4,35,3,42.2,30.6,29,33.93333333,678.6666667,112.8,76553.6,10,7655.36,0.077656843,98579.33528,Offshore
15-Apr,3,39,1,11.2,15.2,16.4,14.26666667,285.3333333,160.8,45881.6,10,4588.16,0.068191294,67283.66234,Offshore
15-Apr,3,39,2,3.888888889,6.333333333,15,8.407407407,168.1481481,115.3,19387.48148,10,1938.748148,0.068191294,28431.02153,Offshore
15-Apr,3,39,3,13.2,7.888888889,6.111111111,9.066666667,181.3333333,105.2,19076.26667,10,1907.626667,0.068191294,27974.63657,Offshore
15-Apr,3,41,1,76,48,51,6.481481481,129.6296296,105,13611.11111,10,1361.111111,0.074125511,18362.24935,Offshore
15-Apr,3,41,2,12.55555556,14.2,13.8,13.37777778,267.5555556,119.9,32079.91111,10,3207.991111,0.074125511,43277.8281,Offshore
15-Apr,3,41,3,7.777777778,6.333333333,7.222222222,7.055555556,141.1111111,112.6,15889.11111,10,1588.911111,0.074125511,21435.41536,Offshore